address,distributed_amount
0x7a89f1838933DE0bA50aF0e916050977ceACAC9e,3569478.90
0x0A004D357f586B39A71522E3f7B97799694b4E69,593138.92
0xaa4182224053076f92b453c96ec16bab00bf6cc6,506566.47
0xc250b22d15e43d95fbe27b12d98b6098f8493eac,437843.63
0x1309c007567a71b393094c21e70bd2647356a352,414282.52
0xa86e412109f77c45a3bc1c5870b880492fb86a14,352886.13
0xa0b7b5164f5301d1d74b8a0b905ecc8c219345bf,247804.41
0xc14eaa8284feff79edc118e06cadbf3813a7e555,226224.83
0xebb1761ad43034fd7faa64d84e5bbd8cb5c40b68,202994.94
0xc29ae8656a99432f6fb6ac9921177dfa29ac1d95,187445.07
0x5939783dbf3e9f453a69bc9ddc1e492efac1fbcb,169748.91
0x81fcd9719e3ffd4be7393c38364bf738da736e42,165489.73
0x2916e2cd96d1c522930a07e55aaad0a634656171,160084.30
0x2e2a42fbe7c7e2ffc031baf7442dbe1f8957770a,147747.37
0xb85b21bc63fe557a7c6195cbaebf42eada2e184b,143128.74
0x8b4334d4812c530574bd4f2763fcd22de94a969b,137680.35
0x9b7bf15b2935e9004a1073c699746ee688add432,135251.67
0x662da6c777a258382f08b979d9489c3fbbbd8ac3,117063.92
0x8930176d92ee275eb7078c1a16deb0128b5da2c7,104152.69
0x450101efa9041d4d13f6d66631bfb0d4a5fc4aea,101207.58
0xc49a180231672a46be1930074b00101a9ec1e815,96475.01
0xc54b9f82c1c54e9d4d274d633c7523f2299c42a0,88307.01
0x0e1891281d77244f4c3f99e1b60ecad98765b884,83428.82
0xb014af8824028efc93bc076506751786807a2cf8,78260.48
0xff75e131c711e4310c045317779d39b3b4f718c4,77716.95
0x91193e88df4160f0bbf03dbc4174c75ecc18afd6,76296.30
0xf152a54068c8eddf5d537770985ca8c06ad78abb,65801.17
0x69ee0929aec103e3c50d26e6a431ce23f1ddf504,61187.80
0xef1a2af07d0db91e8c89925c0e95cdd9b36e105d,60924.58
0x3f1050dac3f187bd4f0725053e28b0b21eb61aef,55387.29
0xc947720c25728217a7e63b96cd33a0842952356e,52181.60
0xf848deba4a913fd5b62515d3894c161a8e36226f,50379.92
0xbff950a8e967b52851f17f27a7f7cfc376fe7f6c,50335.24
0xb91d97c1f1905b0db5bbd74d92fd7433cabb9e74,48480.66
0x2f74df6c5bc496bc53a54e427a2e4672da4dd5fd,46349.40
0x8d1427d6631a86709944feaef40cd5804077ac56,42132.66
0x088fdf5c5ff039b760aac0f4f7e7a630cf5cb66c,41413.32
0xd87621fb9057d7c5b3094e3f3e2817acddad48dd,40205.11
0xb91efe41e38d2d6441c45bbf7a5704b9a1beb905,39704.38
0xe56e1c6213de37a32e79407bce5c4569aaa6971d,39606.72
0x3e39f1829056d8589699494bda61f9e7cecbcac8,39416.72
0xbc2fe9695e3aa06d7fbb97918ab4d30d054b4b25,38313.26
0x52610eed04d9ba715020693c6a515f27c845b625,37075.46
0xa542d7a3b031eabb5133993ba9a31631669f19b0,36804.94
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,36294.46
0xb382cf2287c30fb47206ce761fc8f45e3077f19c,35947.39
0xecca0c51690e2edab8b62ca31907665e5b83dfcf,34872.84
0x24fd7fb95dc742e23dc3829d3e656feeb5f67fa0,34548.99
0xb840c5fcae5be2e32f2845763732b52d22e05971,34534.00
0x8bf81983a4b3c93f7dcb3a19298dc43328aec49e,33843.25
0xff96f5a883667a96ed2dd8b6220861a47795dab0,33827.25
0xf660384ee094bc71d79de51b31c600cf41b01e6d,32918.70
0x7c5bd19fed8325fd060ea2a61dd7ce6fe3e13c80,31536.22
0x9619347f6633723d6d2c9da16c2eed3b27a999c9,31310.06
0xccf13bd21b72a6c6a343d57c2fbecabed5d76563,30422.84
0x18c529e97297c7d7da79779714b288f5c034ebe1,30095.40
0xba2cbccf92a726cfc7591119b487f51b4c1b39dc,28898.46
0x725cdb48f0ea078e46e96b0b6cd2027b97b99b83,28571.15
0x329772fa6547827c38a04c4ba238a11a0c77c5fa,28426.43
0xb60d8ff583cc403e7a539c93bdc63e7c3de89f3a,28101.05
0x15e844bdcaf1a38b55ac76e40921c81282ef4c20,27593.92
0x05a1ff0a32bc24265bcb39499d0c5d9a6cb2011c,26942.06
0xb565aa3406e0b1ffaefb1de0612ba0151f357eaa,26716.33
0xaf2466d9492d6372d57c6ec666495690133538f4,25501.06
0xbd7ad02ec306781055d498753bc415c55da04e33,25082.38
0xb34bc710c1f3182550c70dd348446990b4bc4c60,23585.20
0x81b49be36f1dd073ffd2ee7700b719a03d138551,23490.94
0x6120f29ccb5b1ddaa5a747235f257ef6cb47970f,23468.46
0x6f323854495fed0d8ea0717b786f8d9cb94ec322,22953.39
0x75594f01da2e4231e16e67f841c307c4df2313d1,22908.71
0x4077bca630a0fbf4e2f6416fa886ff8d04e79a0d,22787.30
0x9304b785e517b8644fcf6f2a12dd05877bc035e2,21685.60
0x8ed90dc4ef3e52d89da57fff99e6ab53433f2d01,20860.34
0x72b40caa258c237c6f5947e291650808b913e9fc,20647.64
0x6226f4f4576ad8d09743f2624327167b993548f8,20435.78
0x17af7fd6eb8d414be10296dcac9b922d9c9f0076,20344.05
0x67148ebdc608b0baf5a65e6f23bd16dd68423c9d,19989.48
0x582b5990c10c3555ce5184cac7f9e1d6c45ed4a9,19758.01
0xe239b3148b4b366293a31801010c270a775bdce0,19272.92
0xc22313fd39f7d4d73a89558f9e8e444c86464bac,18814.14
0x212ebf9fd3c10f371557b08e993eaab385c3932b,18670.93
0x6dcb117da7d9d2ab547625f153263d0896b37271,18601.25
0x5b3a72c83005315e738daec6f7cc7171f0d99875,18512.45
0xf48c10015dfb654379360ecf15c461cb60207354,18504.94
0x36159d2343b992552263bfbcd9185cd04098ac69,18429.83
0x46e3a8c8135647b48b2e82198e42e0c69eacbab8,17977.52
0x93ef615f1ddd27d0e141ad7192623a5c45e8f200,17959.25
0x3059d394139ced01b3f268af8031f983a20b966d,17799.90
0x903fd974073761143a028e2f8341a93dd063d2a4,17558.95
0x71d1567aecb9adb1bc41f1b91525344d0fafdf93,17418.30
0x6d5a7d415e7ee9d7167d2e66cc16f30f855bd4ce,16533.83
0x583318f54b34942217bc69a18f150a9d891c417e,16511.38
0x9f007ce4f9347e71d59e76a704d09e16676b4a42,16490.42
0x5b51e854fd1859db6e7d64203c4b20bc627fb443,16349.73
0xdc8583089c9c97661ff6a34dfc8d54b57227c776,16160.93
0xae08f9145ef7f1ded32700a913a966b7937a0f36,16137.97
0x515d66dba5f8aa8702950a164ca0eaa842b01435,16060.47
0x1d0d16303851a92519f83dd5716e0f097ca85c6e,15380.32
0x4a395c3729f2f1639ecddc4e98bc3af0592f92e2,15342.29
0x9a801cee3106ddb791953adbce2fe28033829c6b,15320.97
0x5248079a03ffea97aea9e86a0721f8090619d036,15117.95
